ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,Total_Visits
1,41,Self Enquiry,3,6,Salaried,Female,3,Deluxe,3,Unmarried,1,1,2,1,Manager,20993,3
0,49,Company Invited,1,14,Salaried,Male,4,Deluxe,4,Divorced,2,0,3,1,Manager,20130,5
1,37,Self Enquiry,1,8,Free Lancer,Male,4,Basic,3,Unmarried,7,1,3,0,Executive,17090,3
0,33,Company Invited,1,9,Salaried,Female,3,Basic,3,Divorced,2,1,5,1,Executive,17909,3
0,36,Self Enquiry,1,8,Small Business,Male,3,Basic,4,Divorced,1,0,5,1,Executive,18468,2
0,32,Company Invited,1,8,Salaried,Male,3,Basic,3,Unmarried,1,0,5,1,Executive,18068,4
0,59,Self Enquiry,1,9,Small Business,Female,2,Basic,5,Divorced,5,1,2,1,Executive,17670,3
0,30,Self Enquiry,1,30,Salaried,Male,3,Basic,3,Married,2,0,2,0,Executive,17693,4
0,38,Company Invited,1,29,Salaried,Male,4,Standard,3,Unmarried,1,0,3,0,Senior Manager,24526,2
0,36,Self Enquiry,1,33,Small Business,Male,3,Deluxe,3,Divorced,7,0,3,1,Manager,20237,3
0,35,Self Enquiry,1,22,Small Business,Male,2,Basic,4,Divorced,1,0,3,1,Executive,17426,3
0,36,Self Enquiry,1,21,Salaried,Female,4,Deluxe,3,Unmarried,1,1,3,0,Manager,22347,2
0,31,Self Enquiry,1,32,Salaried,Male,3,Basic,3,Married,2,0,3,0,Executive,17911,3
0,34,Self Enquiry,1,25,Small Business,Male,3,Basic,3,Married,1,0,3,0,Executive,17661,5
1,28,Self Enquiry,1,30,Salaried,Male,4,Basic,3,Unmarried,6,1,2,0,Executive,17028,2
0,29,Self Enquiry,1,27,Salaried,Female,2,Standard,5,Married,2,0,5,1,Senior Manager,24980,3
0,32,Self Enquiry,1,11,Salaried,Male,2,Basic,4,Married,1,1,2,1,Executive,18298,3
0,22,Company Invited,1,22,Small Business,Male,2,Basic,3,Married,2,1,3,0,Executive,17935,3
0,53,Self Enquiry,3,8,Salaried,Female,4,Super Deluxe,3,Divorced,3,0,3,1,AVP,30427,3
0,36,Self Enquiry,1,8,Salaried,Male,3,Basic,3,Unmarried,6,1,4,0,Executive,22347,3
0,36,Company Invited,1,17,Salaried,Female,2,Deluxe,3,Married,1,0,3,1,Manager,22347,5
1,36,Self Enquiry,3,15,Salaried,Male,4,Deluxe,5,Unmarried,1,0,2,0,Manager,18407,2
0,34,Self Enquiry,1,13,Salaried,Female,3,Standard,4,Unmarried,1,0,3,1,Senior Manager,26994,2
0,21,Self Enquiry,1,21,Salaried,Male,3,Basic,3,Unmarried,2,0,3,1,Executive,16232,4
1,34,Self Enquiry,1,12,Small Business,Male,3,Basic,5,Unmarried,3,0,2,1,Executive,17960,3
0,53,Self Enquiry,1,11,Salaried,Female,3,King,3,Married,5,0,5,0,VP,34094,3
1,36,Company Invited,1,22,Salaried,Female,5,Basic,5,Unmarried,2,1,4,1,Executive,22347,5
0,42,Self Enquiry,3,14,Small Business,Male,3,Deluxe,4,Divorced,1,0,3,0,Manager,21825,3
0,44,Self Enquiry,1,13,Small Business,Female,4,Standard,3,Divorced,4,0,4,1,Senior Manager,25248,2
0,46,Self Enquiry,3,8,Small Business,Female,3,King,5,Unmarried,4,0,2,0,VP,33947,3
0,33,Self Enquiry,1,8,Small Business,Male,3,Basic,3,Unmarried,5,0,3,1,Executive,17496,5
0,44,Self Enquiry,1,16,Salaried,Male,3,Deluxe,3,Divorced,3,1,3,1,Manager,21465,3
0,30,Self Enquiry,1,15,Small Business,Male,4,Basic,3,Unmarried,2,0,4,1,Executive,17206,3
1,39,Self Enquiry,3,11,Large Business,Male,3,Deluxe,3,Divorced,4,0,2,0,Manager,17086,3
1,24,Self Enquiry,1,6,Small Business,Male,3,Basic,3,Divorced,3,1,3,1,Executive,17293,5
0,43,Self Enquiry,1,8,Small Business,Female,2,Basic,3,Married,2,0,2,0,Executive,17645,4
